priority,keyword,page,position,impressions,clicks,intent,commercial_potential,volume,keyword_difficulty,score,recommendation,content_type,confidence,reason,next_action,approval_status
High,house removal costs,,5,6381,197,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 6,381 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,removal costs calculator uk,,2,3448,180,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 3,448 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,removal costs uk,,4,1849,138,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,849 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,pickfords removal costs,,2,2141,131,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,141 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best country to move to from uk,,2,4209,73,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 4,209 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best places to live in thailand,,3,2186,64,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,186 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best place to live in thailand,,3,2267,57,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,267 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best places to live in edinburgh,,1,1454,57,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,454 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best areas to live in edinburgh,,1,1534,53,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,534 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,pickfords removals reviews,,4,2860,45,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,860 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,how much does a removal company cost,,5,1351,37,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,351 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best place to move to from uk,,2,1207,32,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,207 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best cities to live in italy,,5,1118,32,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,118 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best countries to move to from uk,,3,2163,30,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,163 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best place to emigrate to from uk,,2,1126,30,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,126 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,cost of removals,,5,2009,28,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,009 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best place to live in australia,,4,5002,27,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 5,002 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best place to live in edinburgh,,1,1316,27,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,316 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best places to move to from uk,,2,1162,23,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,162 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best places to live in the netherlands,,4,1382,20,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,382 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best places to live in australia,,5,4518,15,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 4,518 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best place to live in switzerland,,5,2342,15,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,342 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,best places to live in switzerland,,5,2030,12,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,030 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,cost of living in south africa per month,,5,1249,10,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,249 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,home removal quotes,,5,1544,5,BOFU,High,not_available,not_available,70,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,544 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 70/100.",N/A,needs_review
High,removal costs,,7,6489,190,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 6,489 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,best places to live in italy,,7,3436,92,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 3,436 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,best place to live in italy,,7,2567,88,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,567 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,house removals cost,,6,3279,79,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 3,279 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,removal costs calculator,,9,1460,78,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,460 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,removals quotes,,7,2358,46,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,358 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,removal company costs,,7,2001,42,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,001 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,cost of removal company,,6,2361,26,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,361 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,storage costs,,6,4984,24,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 4,984 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,furniture storage costs,,7,2657,22,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,657 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
